Period,Year,"Industrial Emissions, GTCO2 per year",Emissions Control Rate,"Exog. land-use emissions,GTCO2 per year","Total Emissions, GTCO2 per year","Atmospheric C concentration, ppm","Atmospheric concentration, GtC","Atmospheric Temperature, �C ","Output net damage costs, tril. 2010$","Output net damage and abatement costs, tril. 2010$","Gross output, tril.2010$","Damage costs, tril. 2010$","Damage costs, fraction of gross output","Abatement costs, tril. 2010$",Consumption Per Capita,Real interest Rate,"Capital, tril. 2010$","Savings rate, S","Investment, tril 2010$ per year","Radiative forcing, Wm-2","Exog. (other) forcing, Wm-2","Consumption, tril 2010$",Welfare,"Carbon concentration, upper oceans","Carbon concentration, lower oceans","Lower oceans temperature, �C "
1,2015,35.74038462,0.03,2.6,38.34038462,399.5305164,851,0.85,105.0049231,105.0040675,105.177422,0.17249886,0.001640075,0.000855642,10.48667789,0.050997478,223,0.260667912,27.37119107,2.463395501,0.5,77.63287641,4520.557774,460,1740,0.0068
2,2020,33.28849904,0.182602797,2.301,35.58949904,418.4656574,891.3318503,1.016341648,125.1361971,125.0352313,125.4303057,0.29410864,0.002344797,0.100965809,11.82577907,0.049831136,268.5352253,0.257258003,32.16631385,2.73873109,0.529411765,92.8689174,,471.2893023,1740.670698,0.02788
3,2025,35.33819285,0.206330524,2.036385,37.37457785,434.4059587,925.284692,1.184456622,147.4356337,147.2877677,147.9066674,0.471033646,0.003184668,0.147865986,13.2849141,0.04870145,319.3989344,0.25452899,37.48900677,2.966692533,0.558823529,109.798761,,485.127681,1741.419438,0.052591541
4,2030,37.03789308,0.231929641,1.802200725,38.84009381,450.8498385,960.310156,1.354027053,171.9867318,171.775103,172.7054964,0.718764633,0.004161794,0.211628777,14.86878193,0.047612402,376.0469106,0.252213898,43.32406825,3.193433435,0.588235294,128.4510348,,500.2323067,1742.26395,0.080888168
5,2035,38.34942355,0.259455816,1.594947642,39.94437119,467.648763,996.0918652,1.524592941,198.8318414,198.535235,199.8865127,1.054671371,0.005276351,0.296606411,16.58196687,0.046564915,438.6722815,0.250264219,49.68626552,3.417138201,0.617647059,148.8489694,,516.4749865,1743.212956,0.11271664
6,2040,39.24257052,0.288968026,1.411528663,40.65409919,484.6335404,1032.269441,1.695573444,228.0094553,227.6016149,229.507261,1.49780577,0.00652618,0.407840352,18.42886369,0.045558489,507.4629231,0.248636998,56.59018219,3.636022363,0.647058824,171.0114327,,533.7155977,1744.274272,0.148013548
7,2045,39.69443686,0.320527899,1.249202867,40.94363973,501.6210585,1068.452855,1.866293008,259.5552219,259.0041272,261.623756,2.068534133,0.007906523,0.551094688,20.41363044,0.044592052,582.6026924,0.247294483,64.05029168,3.848408215,0.676470588,194.9538355,,551.7992289,1745.454716,0.186702545
8,2050,39.68874849,0.354199096,1.105544537,40.79429303,518.4195071,1104.23355,2.036007965,293.5028455,292.769964,296.2909121,2.788066534,0.009409896,0.732881525,22.54016331,0.043664386,664.2725223,0.246203634,72.08102906,4.05276305,0.705882353,220.688935,,570.5556222,1746.760017,0.228692307
9,2055,39.21516018,0.39004675,0.978406915,40.1935671,534.8324524,1139.193124,2.20393098,329.8848958,328.9244187,333.5627918,3.677895932,0.011026098,0.960477144,24.81208956,0.042774328,752.6514269,0.24533556,80.6968565,4.24771184,0.735294118,248.2275622,,589.8000634,1748.1947,0.273875198
10,2060,38.26859036,0.428136935,0.86589012,39.13448048,550.6620366,1172.910138,2.369251946,368.7335413,367.4916136,373.4927031,4.759161807,0.012742315,1.241927687,27.23277648,0.041920858,847.9174236,0.244664931,89.91231025,4.432033236,0.764705882,277.5793033,,609.3351339,1749.761991,0.322126593
